technology,co2_kg_per_kwh,sox_kg_per_kwh,nox_kg_per_kwh,pm25_kg_per_kwh,gwp100_kg_per_kwh
coal,1.05,0.0088,0.0052,0.00055,1.05
gas,0.48,0.00065,0.0017,0.000065,0.55
nuclear,0.025,0.0,0.0,0.0,0.055
hydro,0.0065,0.0,0.0,0.0,0.013
wind,0.0055,0.0,0.0,0.0,0.005
solar,0.028,0.0,0.0,0.0,0.022
biomass,0.33,0.0023,0.0013,0.00027,0.33
geothermal,0.058,0.00013,0.00013,0.000027,0.045
storage,0.028,0.0,0.0,0.0,0.016
