technology,co2_kg_per_kwh,sox_kg_per_kwh,nox_kg_per_kwh,pm25_kg_per_kwh,gwp100_kg_per_kwh
coal,1.1,0.0090,0.0055,0.0006,1.1
gas,0.5,0.0007,0.0018,0.00007,0.6
nuclear,0.03,0.0,0.0,0.0,0.06
hydro,0.007,0.0,0.0,0.0,0.014
wind,0.006,0.0,0.0,0.0,0.006
solar,0.03,0.0,0.0,0.0,0.024
biomass,0.35,0.0025,0.0014,0.0003,0.35
geothermal,0.06,0.00015,0.00015,0.00003,0.05
storage,0.03,0.0,0.0,0.0,0.018
