technology,co2_mt_per_twh,so2_kt_per_twh,nox_kt_per_twh,pm25_kt_per_twh
coal,0.90,7.5,4.2,0.35
gas,0.38,0.4,1.3,0.04
nuclear,0.01,0.0,0.0,0.0
hydro,0.004,0.0,0.0,0.0
wind,0.003,0.0,0.0,0.0
solar,0.018,0.0,0.0,0.0
biomass,0.28,1.8,0.9,0.18
geothermal,0.045,0.09,0.09,0.018
storage,0.018,0.0,0.0,0.0
