Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0,0.0,0.9671532846715327,0.023722627737226276,0.005474452554744525,0.0036496350364963502
2025,0,0.0,0.9385113268608415,0.03236245954692557,0.024271844660194174,0.004854368932038835
2030,0,0.013071895424836602,0.8496732026143791,0.06535947712418301,0.06535947712418301,0.006535947712418301
2035,0,0.017182130584192438,0.8018327605956471,0.09163802978235969,0.08018327605956471,0.009163802978235968
2040,0,0.020202020202020204,0.7575757575757576,0.11111111111111112,0.10101010101010101,0.010101010101010102
2045,0,0.022789425706472195,0.7292616226071102,0.13673655423883319,0.10027347310847767,0.010938924339106653
2050,0,0.024896265560165973,0.7053941908713692,0.14937759336099585,0.10788381742738588,0.012448132780082987
