Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.3562340966921119,0.0,0.5852417302798981,0.04834605597964377,0.0025445292620865138,0.007633587786259542
2025,0.32634032634032634,0.0,0.5827505827505828,0.07226107226107226,0.009324009324009324,0.009324009324009324
2030,0.24096385542168675,0.034423407917383825,0.5163511187607573,0.1342512908777969,0.05163511187607573,0.022375215146299487
2035,0.203125,0.04687499999999999,0.5,0.1828125,0.0828125,0.03125
2040,0.13568521031207598,0.054274084124830396,0.4613297150610583,0.21166892808683854,0.10176390773405698,0.035278154681139755
2045,0.052910052910052914,0.06613756613756615,0.4894179894179895,0.25793650793650796,0.12962962962962962,0.043650793650793655
2050,0.0,0.07033997655334115,0.4689331770222744,0.27432590855803046,0.1406799531066823,0.04572098475967175
