Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.5974025974025974,0.01948051948051948,0.3311688311688311,0.022727272727272724,0.00974025974025974,0.01948051948051948
2025,0.5230769230769231,0.024615384615384615,0.3384615384615385,0.03384615384615385,0.027692307692307693,0.024615384615384615
2030,0.38461538461538464,0.03296703296703297,0.34065934065934067,0.08241758241758242,0.1208791208791209,0.038461538461538464
2035,0.25510204081632654,0.03316326530612245,0.33673469387755095,0.12755102040816327,0.19642857142857142,0.0510204081632653
2040,0.18348623853211007,0.03211009174311926,0.3211009174311926,0.17431192660550457,0.23853211009174313,0.05045871559633028
2045,0.061601642710472276,0.026694045174537988,0.30800821355236135,0.22176591375770022,0.28336755646817247,0.05749486652977412
2050,0.0,0.023529411764705882,0.3137254901960784,0.27450980392156865,0.32156862745098036,0.06666666666666667
