Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.6529209621993126,0.0,0.30927835051546393,0.01718213058419244,0.010309278350515464,0.010309278350515464
2025,0.4658385093167702,0.031055900621118012,0.3105590062111801,0.03260869565217391,0.023291925465838508,0.012422360248447204
2030,0.0,0.17953321364452424,0.4488330341113106,0.16337522441651706,0.1615798922800718,0.0466786355475763
2035,0.0,0.18705035971223022,0.38848920863309355,0.1971223021582734,0.19424460431654678,0.053237410071942444
2040,0.0,0.18626309662398138,0.33760186263096625,0.21187427240977882,0.20954598370197905,0.05471478463329452
2045,0.0,0.17699115044247787,0.3146509341199607,0.21730580137659783,0.2359882005899705,0.055063913470993125
2050,0.0,0.17167381974248927,0.2918454935622317,0.22317596566523606,0.2575107296137339,0.055793991416309016
