Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.3562340966921119,0.0,0.5852417302798981,0.04834605597964377,0.0025445292620865138,0.007633587786259542
2025,0.3519417475728155,0.0,0.5825242718446602,0.05339805825242718,0.0048543689320388345,0.007281553398058252
2030,0.30927835051546393,0.030927835051546393,0.5567010309278352,0.07216494845360825,0.02061855670103093,0.010309278350515465
2035,0.2802893309222423,0.03616636528028933,0.5424954792043399,0.09041591320072333,0.03616636528028933,0.014466546112115732
2040,0.24793388429752067,0.04132231404958678,0.5454545454545454,0.10743801652892562,0.04132231404958678,0.01652892561983471
2045,0.21978021978021975,0.04709576138147566,0.5494505494505494,0.11773940345368916,0.04709576138147566,0.018838304552590265
2050,0.1791044776119403,0.05223880597014925,0.5522388059701493,0.13432835820895522,0.05970149253731343,0.022388059701492536
