Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.0,0.0,0.9671532846715327,0.023722627737226273,0.005474452554744524,0.0036496350364963502
2025,0.0,0.0,0.916030534351145,0.03969465648854962,0.03816793893129771,0.0061068702290076335
2030,0.0,0.015045135406218652,0.7021063189568706,0.09628886659979939,0.1705115346038114,0.0160481444332999
2035,0.0,0.016597510373443983,0.6224066390041494,0.12614107883817427,0.21576763485477177,0.01908713692946058
2040,0.0,0.017692852087756547,0.5661712668082095,0.14720452937013445,0.24769992922859163,0.021231422505307854
2045,0.0,0.016887816646562127,0.5277442702050664,0.15681544028950545,0.27442702050663453,0.024125452352231607
2050,0.0,0.015772870662460567,0.49947423764458465,0.1640378548895899,0.29442691903259727,0.026288117770767613
