Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.6125356125356125,0.022792022792022793,0.29914529914529914,0.02849002849002849,0.008547008547008546,0.02849002849002849
2025,0.5714285714285714,0.03428571428571429,0.3085714285714286,0.04285714285714286,0.014285714285714285,0.02857142857142857
2030,0.4386422976501306,0.07049608355091384,0.2819843342036554,0.12010443864229765,0.06005221932114883,0.02872062663185379
2035,0.28037383177570097,0.06542056074766354,0.26869158878504673,0.19859813084112152,0.1518691588785047,0.03504672897196262
2040,0.2279569892473118,0.06021505376344086,0.2924731182795699,0.17419354838709677,0.21290322580645163,0.03225806451612903
2045,0.054945054945054944,0.054945054945054944,0.24908424908424906,0.2747252747252747,0.32967032967032966,0.03663003663003663
2050,0.0,0.05303030303030303,0.20606060606060606,0.3151515151515152,0.3878787878787879,0.03787878787878788
