Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.9634551495016612,0.0,0.03322259136212625,0.0,0.003322259136212625,0.0
2025,0.912,0.0,0.04,0.0192,0.024,0.0048
2030,0.6175771971496438,0.023752969121140145,0.053444180522565325,0.17814726840855108,0.10688836104513065,0.017814726840855107
2035,0.43981481481481477,0.046296296296296294,0.061342592592592594,0.26041666666666663,0.16550925925925924,0.02662037037037037
2040,0.2793296089385475,0.0670391061452514,0.0670391061452514,0.335195530726257,0.21787709497206706,0.0335195530726257
2045,0.09019165727170238,0.09019165727170238,0.07666290868094702,0.4227733934611049,0.27959413754227735,0.04284103720405863
2050,0.0,0.10309278350515465,0.07731958762886598,0.4639175257731959,0.30927835051546393,0.04639175257731959
