Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.9634551495016612,0.0,0.03322259136212625,0.0,0.003322259136212625,0.0
2025,0.9286898839137644,0.0,0.03814262023217247,0.013266998341625208,0.01658374792703151,0.003316749585406302
2030,0.7092198581560284,0.02127659574468085,0.056737588652482275,0.11347517730496455,0.0851063829787234,0.014184397163120569
2035,0.56,0.03333333333333333,0.06666666666666667,0.16,0.16,0.02
2040,0.3878787878787879,0.04242424242424242,0.07272727272727272,0.2181818181818182,0.2545454545454546,0.024242424242424242
2045,0.2742857142857143,0.05714285714285714,0.08,0.25142857142857145,0.3085714285714286,0.02857142857142857
2050,0.15789473684210525,0.06315789473684211,0.08421052631578947,0.29473684210526313,0.3684210526315789,0.031578947368421054
