Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.6125356125356125,0.022792022792022793,0.29914529914529914,0.02849002849002849,0.008547008547008546,0.02849002849002849
2025,0.5752212389380531,0.026548672566371685,0.31858407079646023,0.038348082595870206,0.011799410029498527,0.029498525073746312
2030,0.5207100591715977,0.053254437869822494,0.31952662721893493,0.04142011834319527,0.03550295857988166,0.02958579881656805
2035,0.5063291139240507,0.06329113924050633,0.2911392405063291,0.04556962025316456,0.06329113924050633,0.030379746835443037
2040,0.46511627906976744,0.08139534883720931,0.3023255813953488,0.05813953488372093,0.06511627906976744,0.027906976744186046
2045,0.41942604856512145,0.08830022075055188,0.29359823399558505,0.0772626931567329,0.08830022075055188,0.033112582781456956
2050,0.33860045146726864,0.11286681715575622,0.30699774266365687,0.09480812641083522,0.11286681715575622,0.033860045146726865
