Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.6529209621993126,0.0,0.30927835051546393,0.01718213058419244,0.010309278350515464,0.010309278350515464
2025,0.5405405405405406,0.025337837837837836,0.32094594594594594,0.025337837837837836,0.016891891891891893,0.011824324324324325
2030,0.25862068965517243,0.12068965517241378,0.37931034482758624,0.08620689655172414,0.08620689655172414,0.02586206896551724
2035,0.16260162601626016,0.1382113821138211,0.4065040650406504,0.13008130081300812,0.13008130081300812,0.03252032520325203
2040,0.08888888888888889,0.14814814814814814,0.4148148148148148,0.16296296296296298,0.14814814814814814,0.037037037037037035
2045,0.04,0.16,0.4,0.18666666666666665,0.17333333333333334,0.04
2050,0.0,0.16969696969696968,0.3878787878787879,0.20606060606060606,0.19393939393939394,0.04242424242424242
