Year,Coal,Gas,Hydro,Wind,Solar,Other_RES
2020,0.5974025974025974,0.01948051948051948,0.3311688311688311,0.022727272727272724,0.00974025974025974,0.01948051948051948
2025,0.567741935483871,0.02258064516129032,0.3419354838709677,0.025806451612903226,0.01935483870967742,0.02258064516129032
2030,0.4938271604938272,0.0308641975308642,0.35802469135802467,0.043209876543209874,0.04938271604938272,0.02469135802469136
2035,0.44378698224852076,0.038461538461538464,0.36686390532544383,0.0591715976331361,0.06508875739644972,0.026627218934911247
2040,0.40229885057471265,0.04597701149425288,0.37356321839080464,0.06896551724137931,0.08045977011494253,0.02873563218390805
2045,0.34540389972144847,0.05571030640668524,0.3788300835654596,0.08913649025069639,0.10027855153203344,0.030640668523676882
2050,0.2762430939226519,0.06629834254143646,0.38674033149171266,0.11049723756906077,0.12707182320441987,0.03314917127071823
