scenario,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP1,77476.36682114787,81527.22448836081,84804.71832560218,88230.2068144059,91805.79301804418,95533.63721177686,99270.05853220577,102725.21418488237,107966.67984257075,112633.48268691386,117475.67515304705,122475.1964598114,127638.65624064689,132961.51624150874,138439.71590077403,144069.66083068794,149847.21855821647,155768.66941505947,161830.45854823574,168029.40743259035,174362.6990720066,180929.2820197038,187620.21156453012,194420.82363797765,201316.7879314255,208294.09736861876,215357.03959855664,222474.4153510133,229632.2041770774,236816.65084579765,244014.2581429001,251207.53544820196,258398.40715862077,265585.0859676908,272766.0078125778,279939.82360419934,287132.055529186,294316.09186854446,301491.0107352064,308656.0702334895,315810.70037169673,323036.01967551565,330253.6980715055,337463.60928097897,344665.75521407026,351860.25781327795,359087.65108654374,366309.29815301165,373525.89120182896,380738.2140419252,387947.13318585587,395184.43240479915,402410.15687587135,409614.8878454505,416789.24169012264,423923.86253357347,431024.02852935303,438066.63418737694,445043.1816064468,451945.15952020604,458764.0320706842,465598.43003428576,472351.0046726773,479024.6160071958,485622.0670701995,492146.09323965834,498614.96068935614,505016.8789502092,511354.9675569082,517632.2362685202,523851.56969713164,529857.8709358103,535798.7457504215,541670.8231880511,547470.5364067251,553194.1051143165,558865.9887116383,564454.0451765861,569953.6740440466,575359.9829533203,580667.7677525701,585891.9903515677,591006.4818196216,596004.9144216636,600880.5544036815,605626.2378583462,610213.926203781,614655.9594145895,618943.737334783,623068.1251538914,627019.423675375
SSP2,77476.36981371172,81618.31094396744,84981.4594772415,88481.2036802245,92113.55092636593,95874.52833010713,99437.68368810436,103052.08286374052,107858.93269623641,112335.28222776196,116917.71971952556,121584.70138373118,126330.52291015502,131142.61478675823,136009.19268951335,140919.23431279958,145859.62469791717,150822.22826060353,155797.6144617123,160776.92686714046,165751.85075409713,170836.40877141024,175917.21019396276,180994.09873491846,186067.3419015967,191137.60487706063,196211.48688400877,201284.48793960697,206357.81953041427,211433.00113483344,216511.83784781687,221577.04566400987,226648.7099016213,231728.8157043886,236819.5421191334,241923.2457819827,247057.88766295154,252211.76513407455,257387.90462687227,262589.44437389175,267819.6170285448,273150.12983047246,278520.43218175916,283934.9257016257,289398.0518556359,294914.2798524054,300529.805344895,306207.76678613713,311952.84518421773,317769.705560788,323662.98538355494,329665.6243202231,335746.361091935,341902.89751531923,348132.88603246905,354433.9211265834,360805.6714471052,367241.7584780399,373739.00360721,380294.13290821965,386903.7743474752,393663.1798635156,400483.2259357133,407365.66847626824,414312.1696939425,421324.3012532978,428415.7416930528,435575.74227214605,442805.9973687162,450108.11735406227,457483.63283056335,464783.09598382574,472153.09058756335,479593.22197074455,487103.0559821757,494682.127211965,502359.7807432896,510104.2097839013,517914.61478615797,525790.2102735377,533730.2451102759,541750.3371640753,549832.0106263579,557974.578551354,566177.4721462145,574440.268370737,582763.2564362342,591146.1924126839,599589.2955573587,608093.0660015182,616658.3245869841
SSP3,77476.35143081956,81732.99005953432,85177.23875362298,88719.81657092675,92352.25761654256,96066.1922057505,99693.93614401748,102928.71767386905,107445.55513448395,111610.942410708,115804.22661169547,120003.06318778393,124193.59410909645,128359.80205791931,132486.74807426438,136560.52137163896,140565.7822425066,144491.66999607038,148325.9038351316,152056.9753789952,155674.0900050431,159306.84090907892,162826.34083876625,166234.95514671854,169535.59113442694,172731.66058407954,175813.2686281842,178797.85303419598,181689.66126309466,184493.2813125761,187213.60799064062,189825.7319140546,192361.45221879997,194824.15724911526,197217.42001723728,199544.9701391485,201817.53313734414,204033.23187368596,206196.45430748063,208311.63095428,210383.21287989602,212463.45318633204,214514.7634251052,216544.17206086253,218558.65650148972,220565.12477520056,222605.30045205602,224648.20165187324,226700.71607148615,228769.6171384264,230861.55083538883,233005.1820353457,235174.77317424314,237369.66199993045,239589.01181539972,241831.80419426825,244101.00393618908,246389.37944256366,248695.8130879719,251019.00256664146,253357.4645047917,255781.51685037577,258227.30395124896,260695.507592683,263186.637983651,265701.0455352672,268250.96157200553,270823.385727847,273419.04022818233,276038.5841644631,278682.63689365576,281262.8964812239,283868.6504797915,286500.1857260991,289157.86685678933,291842.17373811227,294570.64301609446,297324.0115282415,300103.2762049709,302909.7498291616,305745.1209406545,308628.7621862462,311544.85267183353,314497.1555187322,317490.105569311,320528.89196774893,323635.3213803274,326801.4989608543,330035.46987279993,333346.43090807536,336744.84591349936
SSP4,77476.36981371172,81653.21652435539,85059.66884157747,88609.10339005744,92295.63527929505,96113.46469320443,99895.31165031677,102655.43291899972,107761.06890952772,112264.61001875471,116878.47822154559,121584.1138265332,126371.32381529009,131226.6654661005,136137.45995425823,141091.7729219296,146075.27307704324,151078.36155823196,156090.08154889115,161100.05227089947,166098.43633679108,171172.5359738053,176223.8538162924,181244.06057158136,186225.2760620206,191160.04424060398,196043.98124277627,200867.30690305485,205622.90769827878,210304.00010362518,214904.108988021,219406.1643105344,223823.05216512515,228157.4263302904,232412.170651866,236590.38398785001,240710.39500249815,244761.59111112717,248747.50796711637,252671.81916983097,256538.31971877045,260395.03025391328,264203.48835339316,267966.6122281959,271687.3996185894,275368.915799528,279031.2278654113,282660.2315817748,286258.8490391132,289830.01354308205,293376.6603676748,296905.9177321996,300409.6666408074,303884.69798525446,307327.77303639654,310735.61558461364,314096.5045187245,317414.48818318,320686.1273766685,323907.91787635995,327076.2914956813,330260.6393635475,333398.9644126986,336495.4804709801,339554.32484153734,342579.55816933874,345565.0260093291,348524.74029711995,351463.2763693891,354385.1773120094,357294.95844764146,360017.4404812577,362726.37268171884,365422.69453102385,368107.2867932703,370780.975539341,373424.65255257126,376057.5411293095,378680.4900917567,381294.35217089386,383899.9969286653,386484.75890159846,389060.73599926184,391628.6732311067,394189.37893926806,396743.7446591849,399272.885109401,401796.80844346125,404316.74891033856,406834.11902540637,409350.53937369934
SSP5,77476.38905162214,81314.96199682678,84417.92869144546,87713.38621281051,91210.23496122945,94917.45643793272,98701.66793248491,102858.81924736213,107777.2779543162,112661.67972475154,117809.50725682777,123212.15521911003,128885.3325707461,134833.04167496492,141059.41465082578,147568.72841306668,154363.23450440887,161446.969426236,168823.22449214052,176495.40199136574,184467.02491694622,192842.34115186217,201507.37680389703,210441.55603822207,219624.48316023246,229035.94517286742,238681.053989306,248515.73511929455,258519.5725705657,268672.3286526571,278953.9494636787,289349.65031858924,299855.82096960134,310473.4804088617,321203.847759391,332048.3444018743,343045.5786087621,354162.23833764414,365400.4382021796,376762.4916077476,388250.9086810483,399972.926562639,411829.65456802584,423822.57303702255,435953.33277076494,448223.7500711475,460699.7553475836,473324.16069860436,486099.745652303,499029.4444808981,512116.3362522631,525411.4677781704,538860.1427180639,552452.9103224606,566180.423055289,580033.4245735374,594026.1335194629,608127.7992360867,622329.7045927431,636623.1661549129,650999.5225870985,665606.2036549394,680299.5896074194,695083.7553968715,709962.7075636524,724940.359701771,740069.2953963869,755308.4776201026,770662.5360571506,786135.962270028,801733.0811667959,817245.9475282532,832870.952877337,848603.9021588976,864440.2049579908,880374.8275304507,896497.0886558444,912710.7121013111,929009.438005954,945386.4213117028,961834.1771464129,978402.1067590897,995026.534378367,1011697.8104849797,1028405.3625700811,1045137.6219850369,1061881.4541958126,1078624.3510468267,1095351.3123346942,1112045.9997869884,1128690.6377100986
