scenario,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP1,6872.462262253336,6944.507743920152,7015.02901686982,7083.979644787591,7151.3132645024,7216.983682347562,7280.944518654056,7343.149475652989,7403.552451157636,7462.107201636221,7518.767680728151,7573.511084582121,7626.408003786367,7677.553164249305,7727.040173969214,7774.963485549896,7821.406820638979,7866.413090546002,7910.0145472273725,7952.243639655607,7993.132837895591,8032.704788299394,8070.943133482295,8107.821699788746,8143.314390182289,8177.395070116475,8210.02844745993,8241.142977398624,8270.657872267755,8298.49223380009,8324.565439389435,8348.806748463265,8371.185882545378,8391.682940066243,8410.277396417427,8426.949365485845,8441.68550807209,8454.501631440155,8465.420021363643,8474.463163524699,8481.65341245228,8487.013091359522,8490.563153807334,8492.324350108418,8492.317315616767,8490.562755994779,8487.083113920227,8481.907813013111,8475.068349345156,8466.595594035127,8456.52099943521,8444.876556449995,8431.697857703974,8417.021218071193,8400.883067476747,8383.3197686216,8364.368489922623,8344.070601949537,8322.468285524803,8299.603839149875,8275.51947208655,8250.245361917705,8223.763104505515,8196.042382806982,8167.052776229316,8136.763893151452,8105.124443479986,8071.999977084523,8037.2352825337475,8000.675039900395,7962.164080404978,7921.615323642192,7879.214934981904,7835.217191005498,7789.876551701404,7743.447486416307,7696.159955251545,7648.146295490123,7599.514654273254,7550.372833644826,7500.829025980676,7450.970963432937,7400.806188268233,7350.321913558874,7299.5054225160875,7248.343991322313,7196.8248232294745,7144.9351653599415,7092.662106297437,7039.992916499493,6986.914776349627
SSP2,6872.462262253336,6946.287480828077,7020.955170941497,7096.202999180432,7171.768930687388,7247.390464423813,7322.805644166038,7397.7520413828815,7471.96756444145,7545.19003107107,7617.157209332072,7687.658107106005,7756.686703824237,7824.288278553456,7890.507937781649,7955.390838685638,8018.981592970127,8081.322418993193,8142.454887488866,8202.420494365306,8261.260808009993,8319.012757704695,8375.694275229178,8431.318786556087,8485.899701733786,8539.450342976934,8591.974676129477,8643.439479124367,8693.802435992558,8743.020734272799,8791.052067219991,8837.849373428087,8883.347864173007,8927.478491683083,8970.172013377276,9011.359315264759,9050.972791054399,9088.95147122198,9125.235811388426,9159.766483494695,9192.484017474826,9223.348278891755,9252.396636705405,9279.685523818089,9305.27150598108,9329.21131770831,9351.561246826259,9372.376642210598,9391.712762693562,9409.624791670109,9426.167872399026,9441.394852619207,9455.349373755484,9468.072558936168,9479.605657397118,9489.990009241039,9499.262394046173,9507.441867232305,9514.543394159946,9520.581598570745,9525.571250537461,9529.5230964523,9532.431829977928,9534.288056516585,9535.082440556664,9534.805755256784,9533.44528593297,9530.974959620773,9527.365486212304,9522.587474060078,9516.611671101236,9509.4316900344,9501.133929903843,9491.82790740735,9481.623117603373,9470.629109604075,9458.94785699189,9446.650751746141,9433.801775845308,9420.464687871961,9406.703367661368,9392.569207805593,9378.064087951545,9363.177415483773,9347.898575585195,9332.21694173211,9316.121893692563,9299.602773400049,9282.64899448586,9265.24983306047,9247.394668714476
SSP3,6872.462262253336,6945.33528406947,7021.6097886870875,7100.796011678309,7182.404680499898,7265.946271377439,7350.931164748679,7436.869800436185,7523.2726889216465,7609.650165463145,7695.51265174279,7780.453179168282,7864.395495425607,7947.345742713106,8029.310592582411,8110.296098657803,8190.327399746273,8269.50438398028,8347.945392814323,8425.768976650274,8503.093589989925,8580.007056286571,8656.475446256118,8732.434187662022,8807.818535842543,8882.564037411252,8956.64916493204,9030.223540501607,9103.480061523785,9176.611501986788,9249.81053022788,9323.210228642552,9396.704725797252,9470.128560321285,9543.31626250801,9616.102265985404,9688.32952002147,9759.874383315153,9830.621574509249,9900.455902703012,9969.262036990462,10036.954908784899,10103.570156453738,10169.173647331894,10233.83118490996,10297.608701578278,10360.569478340669,10422.76672070241,10484.251108259845,10545.073503755317,10605.284464119663,10664.938146256922,10724.102351155565,10782.848016084428,10841.246287511334,10899.368364439582,10957.2786165101,11015.015354628076,11072.610208588794,11130.094812315272,11187.500834542861,11244.851880308994,11302.139579510691,11359.347583587416,11416.459447982885,11473.458776138506,11530.334060399433,11587.092831275311,11643.747611933833,11700.310903442132,11756.795119158714,11813.208805642038,11869.544570324384,11925.79124647826,11981.93748019215,12037.972157868988,12093.883806155325,12149.660345245446,12205.289159111802,12260.757873825774,12316.054124963563,12371.162020005622,12426.05231256859,12480.692463822994,12535.049715002913,12589.091418767308,12642.784960977684,12696.09757003732,12748.996545942318,12801.449241628776,12853.422862864323
SSP4,6872.462262253336,6948.157286094297,7023.234075802007,7097.6307470372385,7171.285237866943,7244.135721665194,7316.120310560815,7387.177097201642,7457.244441311957,7526.2605323686785,7594.1635948760395,7660.899024693968,7726.43952811514,7790.76531676554,7853.855821732069,7915.691127038754,7976.25984375857,8035.5854960007,8093.700443264054,8150.637125869511,8206.4278916165,8261.101919730361,8314.675619693402,8367.162333069917,8418.575257506847,8468.92760170639,8518.227217671927,8566.460291409569,8613.607644680751,8659.65003226757,8704.568246863157,8748.335954014208,8790.898603147918,8832.19453004802,8872.161885752528,8910.738768657453,8947.86690178738,8983.500290525735,9017.596707513798,9050.113434565945,9081.008037023932,9110.25133634344,9137.869108911496,9163.900406379418,9188.384307827517,9211.360068570266,9232.86433798752,9252.923573348276,9271.56198627073,9288.803621088398,9304.672766071093,9319.199210815046,9332.436806678621,9344.444972908226,9355.283521451967,9365.011987169926,9373.68684491228,9381.352321151518,9388.049518199929,9393.81952871329,9398.703395009037,9402.73618082577,9405.928123324526,9408.283623949534,9409.806879597365,9410.502139559456,9410.37008932829,9409.396787906546,9407.564525653133,9404.855705055936,9401.252653820628,9396.757345311424,9391.449894326883,9385.42971643933,9378.796493817516,9371.649768900821,9364.081972049107,9356.15661538594,9347.930017236438,9339.458429940316,9330.7982764929,9321.993626355063,9313.03995417433,9303.920646226827,9294.618902958438,9285.118138711554,9275.401619478069,9265.452640808659,9255.254451112378,9244.790271942995,9234.043438447954
SSP5,6872.462262253336,6944.602528964543,7015.4201521078085,7084.860550149385,7152.869348129003,7219.39202032144,7284.37412496353,7347.761263337263,7409.499013173503,7469.533030136557,7527.80911172402,7584.296406545053,7639.057824257246,7692.180481583962,7743.7504198890565,7793.854526554232,7842.568687536192,7889.926377564179,7935.950308935092,7980.663341743783,8024.088208289478,8066.241184270608,8107.111947903432,8146.683587723811,8184.93922696564,8221.861876656783,8257.425548035793,8291.567426138807,8324.21542768489,8355.29737959873,8384.741383989669,8412.484253314022,8438.499612204241,8462.769912329466,8485.277496068747,8506.004941656252,8524.941605930935,8542.105903446192,8557.522731160658,8571.217210976836,8583.214288782468,8593.53751357683,8602.203042782636,8609.225384489731,8614.619022464156,8618.39857854503,8620.580103838012,8621.186949884392,8620.244305292706,8617.777059594875,8613.810362275395,8608.37126310664,8601.496269733327,8593.22337582875,8583.590916911717,8572.637180178532,8560.40124637412,8546.926481305745,8532.256938388538,8516.43689496859,8499.510313923753,8481.509091829459,8462.415756506694,8442.200503542286,8420.833591623883,8398.285134674097,8374.504619685047,8349.357831200798,8322.689942655392,8294.346119790023,8264.17143663113,8232.07869279463,8198.25011853443,8162.935225718715,8126.383774418937,8088.845244247545,8050.544612950871,8011.608451017008,7972.138639327699,7932.237042251089,7892.005487131371,7851.5258417786645,7810.80030392664,7769.811289113021,7728.540948675424,7686.9716974955945,7645.085748690848,7602.865440625716,7560.293069684971,7517.350996659766,7474.021430781843
