"Model","Scenario","Region","Variable","Unit","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2023","SSP1","World","Population","million","","","","","","","","","","","","","","",7804.973761,8124.012074,8413.24566099999,8657.197193999991,8854.45677500001,9017.483181,9136.87756600001,9202.15102900001,9213.26294599999,9178.893434000001,9106.377915,8999.413476,8858.47032800001,8682.371632999999,8474.137111,8238.814653,7979.163919
"IIASA-WiC POP 2023","SSP2","World","Population","million","","","","","","","","","","","","","","",7804.973761,8151.645416,8496.526692000009,8816.84107100001,9110.322327,9370.884334,9593.526444000001,9773.96814399999,9915.120022000001,10018.007006,10087.997781,10125.479114,10129.680830000001,10103.453314999999,10052.324966,9979.04383899999,9884.518028999999
"IIASA-WiC POP 2023","SSP3","World","Population","million","","","","","","","","","","","","","","",7804.973761,8174.287919,8565.789338,8961.544618000002,9360.984392999999,9737.07680300002,10093.373206,10434.441507,10770.760005000002,11094.131841,11406.313579,11703.830762,11987.472742,12262.506162000001,12533.952723,12800.281382,13058.982037000002
"IIASA-WiC POP 2023","SSP4","World","Population","million","","","","","","","","","","","","","","",7804.973761,8167.212024,8546.263999,8920.448202,9286.197952,9624.709830000009,9939.516558000001,10233.976397,10513.499547000001,10768.949236,11001.646474,11210.018164000001,11395.574578,11563.790683000001,11720.583524,11865.38026,11994.709011
"IIASA-WiC POP 2023","SSP5","World","Population","million","","","","","","","","","","","","","","",7804.973761,8123.722893,8412.27920199999,8655.523047,8852.42389800001,9015.496743000002,9135.393125,9201.37698499999,9213.460664,9180.52539799999,9110.103583,9006.029578,8868.76146400001,8696.93265600001,8493.23826,8262.35294,8006.6214150000005
"IIASA-WiC POP 2023","Historical Reference","World","Population","million",2476.354507,2717.192825,2993.980903,3300.599684,3655.64095,4030.810636,4401.865589,4815.684984,5266.803798,5698.873716,6104.986598,6513.8692550000005,6938.950675,7380.245813,7804.973761,"","","","","","","","","","","","","","","",""
"© SSP Scenario Explorer https://data.ece.iiasa.ac.at/ssp"
