"Model","Scenario","Region","Variable","Unit","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA GDP 2023","SSP1","World","GDP|PPP","billion USD_2017/yr",143720.4159952666,162208.9712010226,183293.0547995648,210216.2642450482,239953.7576388186,271530.7788485701,302148.8578253301,338542.0336755416,374708.3605110777,407781.5380508113,436591.1938783373,461597.0198217825,483245.4182893627,502706.2473844835,518000.16442138,519871.6475186017
"IIASA GDP 2023","SSP2","World","GDP|PPP","billion USD_2017/yr",143720.4159952666,158472.8444409777,174389.6113886187,193688.4940869905,214649.4878951055,236257.1265036739,257192.7732892638,280784.6944412441,304669.934271658,327660.8806814749,349621.4070158976,371021.8364739948,392477.9016672302,414317.3658927233,434740.7557612161,439989.935356089
"IIASA GDP 2023","SSP3","World","GDP|PPP","billion USD_2017/yr",143720.4159952666,155829.2710247739,167685.9620113176,181493.163277668,194097.712599356,205435.5667753027,214979.5495927284,225408.4807053009,234423.9398411426,241310.4330409482,246737.0770708084,251695.6708804603,256788.9168311192,262331.414783271,267943.6965459478,259874.6035591045
"IIASA GDP 2023","SSP4","World","GDP|PPP","billion USD_2017/yr",143720.4159952666,157315.0010768749,171682.5701114552,188690.3587798225,206561.6556553398,224356.9611912706,241598.6065171605,261600.9073216778,281213.3834100093,299176.5455306336,315943.9169640921,332948.0953594409,350570.2819873902,369001.3931829216,387141.878414057,389454.9892789032
"IIASA GDP 2023","SSP5","World","GDP|PPP","billion USD_2017/yr",143720.4159952666,163992.9532373728,187634.5378328722,217633.631229467,251875.584563229,288978.7587061941,326271.9532030051,370009.8382015686,414386.5705072312,456289.7348015356,494411.4377705524,528897.8479228041,560482.3071389426,591903.3312558418,621339.4277170058,636650.1330997051
"© SSP Scenario Explorer https://data.ece.iiasa.ac.at/ssp"
